age,gender,race,salary,occupation
27,female,Asian,72000,Engineer
35,male,Caucasian,55000,Teacher
42,female,African-American,105000,Doctor
30,male,Hispanic,85000,Other
48,female,Asian,95000,Engineer
22,male,Asian,50000,Teacher
36,female,Caucasian,115000,Doctor
40,male,African-American,60000,Other
55,female,Hispanic,80000,Engineer
29,male,Asian,48000,Teacher
33,female,Caucasian,110000,Doctor
38,male,African-American,65000,Other
45,female,Hispanic,75000,Engineer
25,male,Asian,52000,Teacher
31,female,Caucasian,100000,Doctor
39,male,African-American,70000,Other
50,female,Hispanic,90000,Engineer
24,male,Asian,55000,Teacher
34,female,Caucasian,105000,Doctor
43,male,African-American,62000,Other
47,female,Hispanic,92000,Engineer
21,male,Asian,53000,Teacher
37,female,Caucasian,125000,Doctor
44,male,African-American,66000,Other
49,female,Hispanic,93000,Engineer
28,male,Asian,48000,Teacher
32,female,Caucasian,115000,Doctor
41,male,African-American,75000,Other
46,female,Hispanic,88000,Engineer
26,male,Asian,54000,Teacher
30,female,Caucasian,110000,Doctor
39,male,African-American,70000,Other
54,female,Hispanic,82000,Engineer
20,male,Asian,47000,Teacher
35,female,Caucasian,105000,Doctor
43,male,African-American,65000,Other
57,female,Hispanic,95000,Engineer
18,male,Asian,51000,Teacher
31,female,Caucasian,100000,Doctor
40,male,African-American,72000,Other
53,female,Hispanic,90000,Engineer
29,male,Asian,49000,Teacher
32,female,Caucasian,105000,Doctor
42,male,African-American,65000,Other
56,female,Hispanic,85000,Engineer
23,male,Asian,54000,Teacher
38,female,Caucasian,120000,Doctor
45,male,African-American,75000,Other
59,female,Hispanic,92000,Engineer
26,male,Asian,52000,Teacher
33,female,Caucasian,110000,Doctor
46,male,African-American,68000,Other
